Column Name,Original Value,Imputed/Encoded Value
dropoff_location,"Brooklyn,Marine Park/Floyd Bennett Field",84
dropoff_location,"Brooklyn,Marine Park/Mill Basin",85
dropoff_location,"Brooklyn,Midwood",86
dropoff_location,"Brooklyn,Ocean Hill",87
dropoff_location,"Brooklyn,Ocean Parkway South",88
dropoff_location,"Brooklyn,Park Slope",89
dropoff_location,"Brooklyn,Prospect Heights",90
dropoff_location,"Brooklyn,Prospect Park",91
dropoff_location,"Brooklyn,Prospect-Lefferts Gardens",92
dropoff_location,"Brooklyn,Red Hook",93
dropoff_location,"Brooklyn,Sheepshead Bay",94
dropoff_location,"Brooklyn,South Williamsburg",95
dropoff_location,"Brooklyn,Starrett City",96
dropoff_location,"Brooklyn,Stuyvesant Heights",97
dropoff_location,"Brooklyn,Sunset Park East",98
dropoff_location,"Brooklyn,Sunset Park West",99
dropoff_location,"Brooklyn,Williamsburg (North Side)",100
dropoff_location,"Brooklyn,Williamsburg (South Side)",101
dropoff_location,"Brooklyn,Windsor Terrace",102
dropoff_location,"EWR,Newark Airport",103
dropoff_location,"Manhattan,Alphabet City",104
dropoff_location,"Manhattan,Battery Park",105
dropoff_location,"Manhattan,Battery Park City",106
dropoff_location,"Manhattan,Bloomingdale",107
dropoff_location,"Manhattan,Central Harlem",108
dropoff_location,"Manhattan,Central Harlem North",109
dropoff_location,"Manhattan,Central Park",110
dropoff_location,"Manhattan,Chinatown",111
dropoff_location,"Manhattan,Clinton East",112
dropoff_location,"Manhattan,Clinton West",113
dropoff_location,"Manhattan,East Chelsea",114
dropoff_location,"Manhattan,East Harlem North",115
dropoff_location,"Manhattan,East Harlem South",116
dropoff_location,"Manhattan,East Village",117
dropoff_location,"Manhattan,Financial District North",118
dropoff_location,"Manhattan,Financial District South",119
dropoff_location,"Manhattan,Flatiron",120
dropoff_location,"Manhattan,Garment District",121
dropoff_location,"Manhattan,Gramercy",122
dropoff_location,"Manhattan,Greenwich Village North",123
dropoff_location,"Manhattan,Greenwich Village South",124
dropoff_location,"Manhattan,Hamilton Heights",125
dropoff_location,"Manhattan,Highbridge Park",126
dropoff_location,"Manhattan,Hudson Sq",127
dropoff_location,"Manhattan,Inwood",128
dropoff_location,"Manhattan,Inwood Hill Park",129
dropoff_location,"Manhattan,Kips Bay",130
dropoff_location,"Manhattan,Lenox Hill East",131
dropoff_location,"Manhattan,Lenox Hill West",132
dropoff_location,"Manhattan,Lincoln Square East",133
dropoff_location,"Manhattan,Lincoln Square West",134
dropoff_location,"Manhattan,Little Italy/NoLiTa",135
dropoff_location,"Manhattan,Lower East Side",136
dropoff_location,"Manhattan,Manhattan Valley",137
dropoff_location,"Manhattan,Manhattanville",138
dropoff_location,"Manhattan,Marble Hill",139
dropoff_location,"Manhattan,Meatpacking/West Village West",140
dropoff_location,"Manhattan,Midtown Center",141
dropoff_location,"Manhattan,Midtown East",142
dropoff_location,"Manhattan,Midtown North",143
dropoff_location,"Manhattan,Midtown South",144
dropoff_location,"Manhattan,Morningside Heights",145
dropoff_location,"Manhattan,Murray Hill",146
dropoff_location,"Manhattan,Penn Station/Madison Sq West",147
dropoff_location,"Manhattan,Randalls Island",148
dropoff_location,"Manhattan,Roosevelt Island",149
dropoff_location,"Manhattan,Seaport",150
dropoff_location,"Manhattan,SoHo",151
dropoff_location,"Manhattan,Stuy Town/Peter Cooper Village",152
dropoff_location,"Manhattan,Sutton Place/Turtle Bay North",153
dropoff_location,"Manhattan,Times Sq/Theatre District",154
dropoff_location,"Manhattan,TriBeCa/Civic Center",155
dropoff_location,"Manhattan,Two Bridges/Seward Park",156
dropoff_location,"Manhattan,UN/Turtle Bay South",157
dropoff_location,"Manhattan,Union Sq",158
dropoff_location,"Manhattan,Upper East Side North",159
dropoff_location,"Manhattan,Upper East Side South",160
dropoff_location,"Manhattan,Upper West Side North",161
dropoff_location,"Manhattan,Upper West Side South",162
dropoff_location,"Manhattan,Washington Heights North",163
dropoff_location,"Manhattan,Washington Heights South",164
dropoff_location,"Manhattan,West Chelsea/Hudson Yards",165
dropoff_location,"Manhattan,West Village",166
dropoff_location,"Manhattan,World Trade Center",167
dropoff_location,"Manhattan,Yorkville East",168
dropoff_location,"Manhattan,Yorkville West",169
dropoff_location,"Queens,Astoria",170
dropoff_location,"Queens,Astoria Park",171
dropoff_location,"Queens,Auburndale",172
dropoff_location,"Queens,Baisley Park",173
dropoff_location,"Queens,Bay Terrace/Fort Totten",174
dropoff_location,"Queens,Bayside",175
dropoff_location,"Queens,Bellerose",176
dropoff_location,"Queens,Breezy Point/Fort Tilden/Riis Beach",177
dropoff_location,"Queens,Briarwood/Jamaica Hills",178
